id,Unnamed: 0,#,Country,Flag,Num Players,Women,% of Women,FIDE Average,GMs,IMs,FMs,WGMs,WIMs,WFMs,Age Avg,Latitude,Longitude
SDN,114,115,Sudan,,182,10,5.49,1716,0,1,6,0,0,0,41,14.5844444,29.4917691
FRO,115,116,Faroe Islands,,176,3,1.7,1698,1,2,7,0,0,0,44,62.1988704,-6.8178451
SAU,117,118,Saudi Arabia,,152,0,0.0,1591,0,0,1,0,0,0,37,25.6242618,42.3528328
CYP,118,119,Cyprus,,151,8,5.3,1335,0,0,5,0,0,0,33,34.9174159,32.8899027
OMN,119,120,Oman,,147,4,2.72,1141,0,0,3,0,0,0,31,21.0000287,57.0036901
BRB,120,121,Barbados,,143,26,18.18,1573,0,4,5,0,0,1,31,13.1500331,-59.5250305
MLT,122,123,Malta,,132,11,8.33,1554,0,1,2,0,0,3,39,35.8885993,14.4476911
SUR,123,124,Suriname,,131,27,20.61,1469,0,0,4,0,0,5,23,4.1413025,-56.0771187
PAK,124,125,Pakistan,,130,9,6.92,1746,0,2,2,0,0,0,44,30.3308401,71.247499
TJK,125,126,Tajikistan,,129,38,29.46,1681,1,4,4,0,0,1,36,38.6281733,70.8156541
LSO,126,127,Lesotho,,121,16,13.22,1375,0,0,0,0,0,1,24,-29.6039267,28.3350193
KWT,127,128,Kuwait,,119,14,11.76,1412,0,0,2,0,0,0,35,29.2733964,47.4979476
PLW,128,129,Palau,,116,29,25.0,1395,0,0,0,0,0,1,41,5.3783537,132.9102573
ETH,129,130,Ethiopia,,90,22,24.44,1742,0,0,2,0,0,0,34,10.2116702,38.6521203
NAM,130,131,Namibia,,86,21,24.42,1453,0,0,2,0,0,1,22,-23.2335499,17.3231107
GHA,131,132,Ghana,,82,10,12.2,1542,0,1,1,0,0,1,32,8.0300284,-1.0800271
AFG,132,133,Afghanistan,,78,1,1.28,1650,0,0,5,0,0,0,40,33.7680065,66.2385139
BMU,133,134,Bermuda,,72,3,4.17,1447,0,0,1,0,0,1,46,32.3040273,-64.7563086
MRT,134,135,Mauritania,,72,5,6.94,1661,0,0,1,0,0,0,41,20.2540382,-9.2399263
MCO,135,136,Monaco,,71,14,19.72,1766,4,3,4,1,2,2,41,43.7323492,7.4276832
AND,136,137,Andorra,,67,7,10.45,1701,2,2,4,0,0,0,39,42.5407167,1.5732033
MOZ,137,138,Mozambique,,64,22,34.38,1595,0,0,2,0,1,0,26,-19.302233,34.9144977
YEM,138,139,Yemen,,56,10,17.86,1725,0,4,5,0,0,1,31,16.3471243,47.8915271
QAT,139,140,Qatar,,52,16,30.77,1682,3,1,2,0,0,3,30,25.3336984,51.2295295
ABW,140,141,Aruba,,48,12,25.0,1647,0,1,1,0,0,1,33,12.5013629,-69.9618475
,141,142,Swaziland,,48,9,18.75,1252,0,0,0,0,0,0,28,-26.5624806,31.3991317
GUY,142,143,Guyana,,47,7,14.89,1474,0,0,1,0,0,1,32,4.8417097,-58.6416891
FJI,144,145,Fiji,,43,8,18.6,1627,0,0,0,0,0,2,36,-18.1239696,179.0122737
RWA,145,146,Rwanda,,42,5,11.9,1608,0,0,0,0,0,1,36,-1.9646631,30.0644358
MAC,146,147,Macao,,41,6,14.63,1703,0,0,3,0,0,0,32,22.1757605,113.5514142
,148,149,Cape Verde,,40,0,0.0,1184,0,0,0,0,0,0,40,16.0000552,-24.0083947
CIV,149,150,Côte d'Ivoire,,38,2,5.26,1655,0,0,1,0,0,0,41,7.9897371,-5.5679458
BHS,150,151,Bahamas,,38,6,15.79,1562,0,0,1,0,0,0,43,24.7736546,-78.0000547
MDV,151,152,Maldives,,35,7,20.0,1482,0,0,2,0,0,0,35,3.7203503,73.2244152
TZA,152,153,"Tanzania, United Republic of",,34,6,17.65,1340,0,0,0,0,0,0,53,-6.5247123,35.7878438
GUM,153,154,Guam,,33,4,12.12,1679,0,0,0,0,0,1,49,13.4499943,144.7651677
,154,155,Brunei,,32,2,6.25,1731,0,0,2,0,0,1,38,4.4137155,114.5653908
JEY,155,156,Jersey,,30,1,3.33,1743,0,0,1,0,0,0,38,49.2214561,-2.1358386
MUS,156,157,Mauritius,,28,3,10.71,1705,0,0,2,0,0,0,43,-20.2759451,57.5703566
TGO,157,158,Togo,,25,3,12.0,1551,0,0,0,0,0,0,36,8.7800265,1.0199765
GGY,158,159,Guernsey,,23,2,8.7,1744,0,0,1,0,0,0,56,49.4622913,-2.5812023
HTI,159,160,Haiti,,21,4,19.05,1758,0,0,1,0,0,0,28,19.1399952,-72.3570972
LBR,160,161,Liberia,,19,0,0.0,1772,0,0,2,0,0,0,37,5.7499721,-9.3658524
,161,162,East Timor,,18,2,11.11,1551,0,0,0,0,0,0,30,-8.7443169,126.063482
SSD,162,163,South Sudan,,18,0,0.0,1961,0,0,0,0,0,0,31,7.8699431,29.6667897
STP,163,164,Sao Tome and Principe,,17,1,5.88,1730,0,0,0,0,0,0,37,0.9713095,7.02255
LIE,164,165,Liechtenstein,,17,2,11.76,1888,0,0,2,0,0,0,49,47.1416307,9.5531527
LAO,165,166,Lao People's Democratic Republic,,16,4,25.0,1265,0,0,0,0,0,0,24,20.0171109,103.378253
CMR,166,167,Cameroon,,16,2,12.5,1757,0,1,2,0,0,0,40,4.6125522,13.1535811
BFA,167,168,Burkina Faso,,15,0,0.0,1475,0,0,0,0,0,0,50,12.0753083,-1.6880314
SLB,168,169,Solomon Islands,,14,0,0.0,1721,0,0,0,0,0,0,39,-8.7053941,159.1070694
SOM,169,170,Somalia,,13,0,0.0,1693,0,0,0,0,0,0,29,8.3676771,49.083416
SYC,170,171,Seychelles,,13,4,30.77,1573,0,0,1,0,0,0,32,-4.6574977,55.4540146
MLI,171,172,Mali,,12,0,0.0,1858,0,0,2,0,0,0,50,16.3700359,-2.2900239
SEN,172,173,Senegal,,12,3,25.0,1661,0,0,0,0,0,0,49,14.4750607,-14.4529612
BDI,173,174,Burundi,,12,0,0.0,1726,0,0,1,0,0,0,34,-3.426449,29.9324519
GMB,174,175,Gambia,,11,0,0.0,1862,0,0,1,0,0,0,57,13.470062,-15.4900464
SMR,175,176,San Marino,,11,0,0.0,1815,0,0,2,0,0,0,49,43.9458623,12.458306
DJI,177,178,Djibouti,,10,0,0.0,1652,0,0,0,0,0,0,34,11.8145966,42.8453061
PNG,178,179,Papua New Guinea,,10,0,0.0,1829,0,0,3,0,0,0,63,-5.6816069,144.2489081
NRU,179,180,Nauru,,8,0,0.0,1685,0,0,1,0,0,0,45,-0.5252306,166.9324426
COG,181,182,Congo,,7,0,0.0,1679,0,0,2,0,0,0,51,-2.9814344,23.8222636
BTN,182,183,Bhutan,,7,0,0.0,1438,0,0,0,0,0,0,32,27.549511,90.5119273
SLE,183,184,Sierra Leone,,6,1,16.67,1680,0,0,0,0,0,0,41,8.6400349,-11.8400269
,184,185,Netherlands Antilles,,6,0,0.0,1191,0,0,0,0,0,0,28,12.1845,-68.6607923
ERI,185,186,Eritrea,,6,0,0.0,1820,0,0,0,0,0,0,31,15.9500319,37.9999668
,186,187,Virgin Islands,,4,0,0.0,1749,0,0,0,0,0,0,54,17.789187,-64.7080574
CAF,187,188,Central African Republic,,4,0,0.0,1556,0,0,0,0,0,0,38,7.0323598,19.9981227
GAB,188,189,Gabon,,3,0,0.0,1878,0,0,1,0,0,0,39,-0.8999695,11.6899699
KHM,189,190,Cambodia,,2,0,0.0,2250,0,0,1,0,0,0,59,12.5433216,104.8144914
